"Hospital","Department","Country","City","Title","Lead_Collaborator_Forename","Lead_Collaborator_Surname"
"Hospital Vila Santa Catarina","Urology","Brazil","Sao Paulo","Prof","Fernando","Korkes"
"Belfast City Hospital","Urology","United Kingdom","Belfast","Mr","Wesam","Elbaroni"
"New Cross Hospital","Urology Department","United Kingdom","Wolverhampton","Mr","David","Mak"
"Beaumont Hospital, Royal Oak","Department of Urology","United States of America","Royal Oak","Dr","Jacob","Stephens"
"Royal Devon and Exeter Hospital","Urology","United Kingdom","Exeter","Mr","Michael","Ng"
"University Hospital Monklands","Department of Urology","United Kingdom","Airdrie","Mr","Keiran","Clement"
"Forth Valley Royal Hospital","Urology Department","United Kingdom","Larbert","Mr","Xiang Wei Jonathan","Lee"
"The Queen Elizabeth Hospital","Urology","United Kingdom","King's Lynn","Dr","Simona","Ippoliti"
"East Jefferson General Hospital","LSU Urology","United States of America","Metairie","Dr","Scott","Delacroix"
"Salford Royal","Urology","United Kingdom","Salford","Mr","Craig","Jones"
"University Hospital of Wales","Urology","United Kingdom","Cardiff","Mr","Abdullah","Al-Mitwalli"
"Bradford Royal Infirmary","Urology","United Kingdom","Bradford","Mr","Adeel","Anwar"
"Glangwili General Hospital","Urology","United Kingdom","Carmarthen","Mr","Mohamed","Youssef"
"University Malaya Medical Centre","Division of Urology","Malaysia","Kuala Lumpur","Mr","Kanesh","Seevalingam"
"Hospital Universitario Principe de Asturias","Urology","Spain","Alcala de Henares","Dr","Nelson","Morales"
"Arnau of Villanova Universitary Hospital","Urology","Spain","Lleida","Dr","Cayo Augusto","Estigarribia Benitez"
"Beaumont Hospital, Dublin","Transplant, Urology & Transplantation Directorate","Ireland","Dublin","Dr","Diarmuid","Sugrue"
"James Cook University Hospital","Urology","United Kingdom","Middlesbrough","Mr","Fawad","ARIF"
"East Lancashire Hospitals","Urology","United Kingdom","Lancashire","Mr","Samuel","Shillito"
"The University of Texas MD Anderson Cancer Center","Urology","United States of America","Houston","Dr","Patrick","Hensley"
"University of Kentucky Chandler Hospital, Lexington","Department of Urology","United States of America","Lexington","Dr","Andrew","James"
"Glan Clwyd hospital","urology","United Kingdom","RHYL","Ms","CARNJINI","YOGESWARAN"
"Royal Gwent Hospital","Urology","United Kingdom","Newport","Mr","Mustafa","Rashid"
"University of California San Francisco/ZSFG","Urology","United States of America","San Francisco","Dr","Benjamin","Breyer"
"University of Alabama at Birmingham","Department of Urology","United States of America","Birmingham","Dr","Zachary","Glaser"
"Hospital de trauma y emergencia. Dr Federico Abete","Division of Urology.","Argentina","Malvinas Argetinas.","Dr","Vanessa","Gonzalez"
"Geisinger Medical Center","Department of Urology","United States of America","Danville","Dr","Tullika","Garg"
"The Chinese University of Hong Kong","Department of Surgery","Hong Kong","Hong Kong","Prof","Jeremy","Teoh"
"Southmead Hospital Bristol","Bristol Uroligical Institute","United Kingdom","Bristol","Mr","Alexander","Ridgway"
"Al-Ahli Hospital","Urology department","Qatar","Doha","Dr","Mohammed","Almusimie"
"Hospital Provincial de Ovalle","Unidad de Urologia","Chile","Ovalle","Dr","Esteban","Acuna"
"Royal United Hospital Bath","Urology","United Kingdom","Bath","Dr","Arvinda","Chippagiri"
"Complejo Hospitalario Universitario de Badajoz, Badajoz","Servicio de Urología","Spain","Badajoz","Mr","Mario Paúl","Sánchez Pérez"
"Vancouver General Hospital","Department of Urologic Sciences","Canada","Vancouver","Dr","Taeweon","Lee"
"Guys and St Thomas' NHS Trust","Urology","United Kingdom","London Bridge","Mrs","Elsie","Mensah"
"Queen Elizabeth Hospital","Urology","United Kingdom","London","Dr","Gaynelle","Menzies"
"Tallaght University Hospital","Urology Department","Ireland","Dublin","Ms","Aideen","Madden"
"Hospital Universitario Ramón y Cajal","Urology","Spain","Madrid","Mr","Álvaro","Sánchez González"
"University Hospital Coventry & Warwickshire","Urology","United Kingdom","Coventry","Mr","Piyush","Sarmah"
"Hospital Universitari Germans Trias i Pujol","Servicio de Urología","Spain","Badalona","Dr","Mauro","Bernardello"
"University Hospitals Leuven","Urology","Belgium","Leuven","Dr","Murat","Akand"
"CHU de Reims","Service d'urologie","France","Reims","Mr","Fayek","Fayek"
"National Cheng Kung University hospital","department of urology","Taiwan","Tainan","Dr","Kuan Yu","Wu"
"hospital San Juan de Dios de La Serena","Urología","Chile","La Serena","Dr","Marcelo","Alvear"
"Azienda Ospedaliero-Universitaria Careggi (AOUC)","Chirurgia Urologica Robotica, Miniinvasiva e dei Trapianti Renali","Italy","Florence","Dr","Riccardo","Campi"
"Princess Royal Hospital, Haywards Heath","Urology","United Kingdom","Haywards Heath","Mr","Michael","Wanis"
"Indira Gandhi government general hospital pondicherry","Urology","India","Pondicherry","Dr","Tikenjit","MAZUMDAR"
"General Faculty Hospital","Department of Urology","Czech Republic","Prague","Dr","Vojtech","Fiala"
"Wexham Park Hospital","Department of Urology","United Kingdom","Slough","Dr","Mohammed","Dallash"
"Cheltenham General Hospital","Department of Urology","United Kingdom","Cheltenham","Mr","Julian","Peacock"
"Penang General Hospital","Department of Urology","Malaysia","Georgetown","Mr","Say Bob","Lee"
"Hospital Canselor Tuanku Muhriz UKM","Department of Surgery","Malaysia","Kuala Lumpur","Dr","Suzliza","Shukor"
"Cipto Mangunkusumo Hospital, Jakarta, Indonesia","Department of Urology","Indonesia","DKI Jakarta","Dr","Agus Rizal","Hamid"
"Bicetre University Hospital, Assistance Publique-H^opitaux de Paris, APHP, University Paris-Saclay","Department of Urology","France","Le Kremlin Bicetre","Dr","Cedric","LEBACLE"
"Global Rainbow Healthcare, Agra","Urology","India","Agra","Dr","Madhu","Agrawal"
"Azienda Sanitaria Universitaria Giuliano Isontina","Dep. of Urology","Italy","Trieste","Dr","Francesca","Vedovo"
"James Paget University Hospital","Department of Urology","United Kingdom","Gorleston-On-Sea","Mr","Suresh","Gupta"
"Leighton Hospital","Urology (Surgery and Cancer Division)","United Kingdom","Crewe","Ms","Heba","Hamami"
"G.Gennimatas General Hospital of Thessaloniki","1st Urology Department of the Aristotle University of Thessaloniki, Greece","Greece","Thessaloniki","Prof","PETROS","SOUNTOULIDES"
"Tan Tock Seng Hospital","Department of Urology","Singapore","Singapore","Dr","Jeffrey","Leow"
"Alexandria University Main Hospital","Intern","Egypt","Alexandria","Mr","Ahmed","Nafea"
"Ibn Sina Specialized Hospital","Department of Urology","Sudan","Khartoum","Mr","Hytham","Hamid"
"Hospital Italiano de Buenos Aires","Urology","Argentina","Ciudad Autónoma de Buenos Aires","Dr","Jordán","Scherñuk"
"Hospital Universitario Austral","Servicio de Urología","Argentina","Pilar","Dr","Jose","Nolazco"
"Great Western Hospitals NHS Foundation Trust","Urology Department","United Kingdom","Swindon","Miss","Kathryn","Gillams"
"University Hospital Waterford","Department of Urology","Ireland","Waterford","Mr","John","O'Kelly"
"Sunderland Royal Hospital","Urology","United Kingdom","Sunderland","Dr","Ricardo","Fernandes"
"Tishreen University Hospital","Department of Urology","Syria","Lattakia","Dr","Alaa","Hamdan"
"Royal Albert Edward Infirmary","Urology","United Kingdom","Wigan","Mr","Matthew","Clark"
"Pinderfields General Hospital","Urology","United Kingdom","Wakefield","Mr","Victor","Onowa"
"The Newcastle upon Tyne Hospitals","Urology","United Kingdom","Newcastle","Dr","Ines","Pina"
"Ipswich Hospital","Department of Urology","United Kingdom","Ipswich","Mr","Hassan","Kadhim"
"Wycombe Hospital","Urology Department","United Kingdom","Wycombe","Dr","Jessica","Whitburn"
"Medway Foundation Trust Hospital","Urology","United Kingdom","Gillingham","Mr","Shikohe","Masood"
"Assiut University hospital","Urology department","Egypt","Assiut","Dr","Mahmoud","Saad"
"Ain shams University hospital (Dmerdash)","Ain Shams University Department of Urology","Egypt","Abassia","Mr","Abdurrahman","Abdelzaher"
"Kasr Alainy Hospital",NA,"Egypt","Giza","Dr","Omar","ElBasatiny"
"Royal Surrey NHS Foundation Trust","Stokes Centre for Urology","United Kingdom","Guildford","Dr","Nikhil","Mayor"
"Chu de Québec Hotel Dieu de quebec","departement de chirurgie Division urologie","Canada","Quebec","Dr","Michele","Lodde"
"Ipswich Hospital","Urology Department","Australia","Ipswich","Dr","Trent","Pattenden"
"Hospital Prof. Doutor Fernando Fonseca, EPE","Urologia","Portugal","Amadora","Dr","Antonio","Pinheiro"
"Al-Thawra Modern General Hospital","Department of urology","Yemen","Sana'a","Mr","Hamza","Al-Naggar"
"Hospital Universitario Puerta del Mar","Servicio de Urología","Spain","Cádiz","Dr","Rodrigo","García-Baquero"
"Martha-Maria Hospital, Nuremberg","Department of Urology","Germany","Nuremberg","Dr","Nikolaos","Pyrgidis"
"CHU Poitiers","Urologie","France","Poitiers","Dr","Héloïse","Ducousso"
"San Antonio Military Medical Center","Surgery","United States of America","San Antonio","Dr","Eric","Umbreit"
"Al-Azhar University Hospitals,Faculty Of Medicine, Cairo, EGYPT","Urology Department","Egypt","Cairo","Dr","Eslam Metwally","Mohamed"
"Tanta University Hospitals","Department of Urology","Egypt","TANTA","Dr","Ahmed","Elsherbiny"
"Hospital Clínico Universitario Virgen de la Arrixaca","Servicio de Urología","Spain","Murcia","Dr","Natalia","Vidal Crespo"
"Menoufia university hospital","Urology department","Egypt","Shibin El kom","Dr","Esraa","Hagag"
"Blackpool Teaching Hospital Foundation Trust","Urology","United Kingdom","Blackpool","Mr","Praveen","Rao"
"Qena University Hospital","Intern","Egypt","Qena","Mr","Ahmed Mohamed","El gharably"
"Jordan University Hospital","Department of Urology","Jordan","Amman","Mr","Almu'atasim","Khamees"
"Nasser Hospital","Renal unit","Palestine State","Gaza","Mr","Mustafa","Abu Jayyab"
